Movables,Source,Intent,Collect,Reading Source,Reading,Gospel Source,Gospel,Approved,Notes
Advent Sunday,Old Lectionary,Seeking the Light,"O Thou, the Heart of Silence, the Hidden Mystery, the inner God: the gods adore Thee, we adore Thee, seated within the Shrine of our hearts. We greet Thee, Thou creator of beings, Thou the One Self. We adore the holy Souls that come forth from Thee, that share Thy being, that are Thyself. O Thou that art hidden, yet everywhere manifest, we worship Thee in greeting each God-soul that cometh forth from Thee and liveth in us. Amen.",The Book of Sophia,"Seek, all of you, after the Light, so that the power of your Soul that is in you may live. Do not desist from seeking by day and by night, until you find the purifying mysteries of the Light which refine the body of matter and make it a pure Light very refined. Do to all men who come to you and believe in you and listen to your words what is worthy of the mysteries of the Light, give the mysteries of the Light and do not hide them from them. For he who shall give life to a single soul and liberate it, besides the Light that is in his own soul, he shall receive other glory in return for the soul he has liberated.",The Gospel of Thomas,"Jesus said: Whoever finds the meaning of these words will not taste death. Let him who seeks, not cease seeking until he finds, and when he finds, he will be troubled, and when he has been troubled, he will marvel, and he will reign over the All. Jesus said: If those who lead you, say to you, “See, the Kingdom is in heaven”, then the birds of heaven will precede you. If they say to you, “See, it is in the sea”, then the fish will precede you. But the Kingdom is within you and it is without you. If you know yourselves, then you will be known and you will know that you are the sons of the Living Father. But if you do not know yourselves, then you are in poverty and you are poverty.",,
The Second Sunday In Advent,Old Lectionary,The God Within,"Show us Thy face, O holy undefiled radiance, our true gracious physician, Thou healer of our souls! Come to us, for we are Thy sheep, and Thou art our good shepherd! O Light of our soul, the sun of our heart who givest our being the things of the Light, Thou art our witness that we have no comfort save in Thee. We have heard every voice but no other voice save Thine can please us; for it is Thou alone whom we have loved from the beginning to the end. Come to us, and abide with us, O redeeming Light, Thou who art the cross of light that gives life to the universe. Amen.",Writings of the Gnostic Fathers,"Cease to seek God in created things on the outside, but seek Him within thyself; and thus learn who it is that takes possession of thee and says: “My God, my consciousness, my understanding, my soul, my body.” Then learn whence is sorrow, and rejoicing, and love, and hate, and being awake, and being asleep, and getting angry against one’s will. Now if thou inquire into these things thou shalt find Him in thyself, one and many, like the atom, and thus thou shalt find the way out from thy lesser self.",Gospel of Philip,"Those who sow in the winter reap in summer. The winter is the world, the summer the other Aeon. What comes out of the winter is the summer. Let us sow in the world that we may reap in summer. But if any man reap in winter, he will not reap but pluck out.",,
The Third Sunday In Advent,Old Lectionary,Recognition of the Messenger,"Christ, our Light, come to us and take us unto Thee! We have trusted to the knowledge of Thy hope which called us unto Thee; take us up to Thine abode, O our celestial Spouse! We are trees in the orchard of Thy Light; our Light shines like the sun; for we have lit it with Thy fire, and nourished it with the good oil of purity. O Thou who art our eternal saving power, cleanse us in Thy waters, that we may become divine again as we once were. And come to us, O Thou dearly awaited One, come to those who await Thee today and forever. Amen.",The Holy Prophet Mani,"The Messenger of Light, who comes at the right time and assumes the form of the true church and human flesh, and acts as leader within righteousness, chooses the personalities of his disciples and then frees them, both those of the Elect and those of the Hearers; he dives down into the deep oceans of the waters of the world, and draws them out from the jaws of the deep. And they do not stray again, but after other rebirths and toil for the Light, they come to the hands of the Angels; and the Angels carry them to the places where they shall be refined as pure gold.",The Secret Sayings of Jesus,"Jesus said: Pay no heed to the multitude; and think little on those outside of the mystery; for know that I am wholly with the Father, and the Father with me. Therefore I have suffered nothing of what they are going to say about me. For what thou seest, this I have shown thee; but what I am, this alone I know, no other. Let me then keep what is mine, and see what is thine through me. But see me truly, not what I said I am, but what thou being akin to me, canst fully realize, and wilt know in the fullness of thy time.",,
The Fourth Sunday in Advent,Old Lectionary,Nature of the Redemer,"O, Thou our Redeeming Power, our mind has not ceased thinking of Thy wonders; our thought has not swerved from searching Thy secrets. Our insight has not moved from aspiring to Thy mysteries; nor has our counsel ever moved from seeking Thy marvels. Our wills have sent up desiring to comprehend Thee, our lord. We long to see Thy brilliant countenance, O ever coming Lord! Amen.",The Holy Prophet Mani,"When men asked for the Redeemer, and the Mother of Life, and the first Man and the Spirit of Life decided to send to their children One who should free them and save them, to show them the knowledge and the righteousness and rescue them from evil. Being kindly, and filled with pity, the Good Father sent from His bosom His beloved Son into the heart of the earth and into its lowest parts for the saving of souls. While coming, the Son changed himself into the form of man, and He appeared to men as a man, being no man, and men fancied him to have been born.",The Book of the Gnosis of the Light,"The ever coming Redeemer gave us glory and joy, and jubilation, happiness and peace and hope, and faith and love and truth which changes not. And we have become blessed and perfect, we have come to know God as truth, and we have become gods and perfected ones. And he also gave us the law: to love one another, and to honor God and bless Him, and seek Him - who He is and what He is - that we should wonder at the place whence we have come, and not return to evil again but follow after Him who has given us the Law of Love.",,
The Second Sunday After Epiphany,Old Lectionary,Desire for Liberation,"O great 'Call' who has awakened our soul from slumber; O Merciful One filled with mercy, the savior of those who are his own. We worship thee; we have called upon thee with an innocent voice, because we know that thou art the rescuer of souls. Stretch out thy right hand to us, and we shall leave all darkness behind us, and serve only thy Light, now and forevermore. Amen.",Book of the Psalms of Light,"O Soul, thou art the sheep that has wandered in the desert; thy Father seeks thee, thy shepherd looks for thee. O despised noble, thy king searches after thee! Where are thy angel garments, thine unaging robes? Where are thy gay garlands, thy crowns that do not fall? Who has changed thy fair beauty, the fashion of thy kinsmen, the seal of thy fathers? Move thyself, O soul watching in the enduring chains, and remember the ascent into the joyful air, for a dangerous lure is the sweetness of this flesh, the body of darkness. Drink of the water of memory, throw away thy forgetfulness! The wounded one who desires healing, let him come to the physician! O soul, do not forget thy Self, nor faint, nor eat out thy heart! See, the ships are moored for thee, the boats are in the harbor; take thy burden aboard and sail away to thy true home.",Gospel of Thomas,"Jesus said: The old man will not hesitate to ask a little child of seven days about the place of Life, and he will live. For many who are first shall become last, and they shall become a single one. Jesus said: Know what is in thy sight, and what is hidden from thee will be revealed to thee. For there is nothing hidden which will not be manifest. His disciples asked him, they said to him: Wouldst thou that we fast and how should we pray and should we give alms and what diet should we observe? Jesus said: Do not lie; and do not do what you hate, for all things are manifest before Heaven. For there is nothing hidden that shall not be revealed and there is nothing covered that shall remain without being uncovered.",,
Third Sunday After Epiphany,Old Lectionary,Sincerity,"O Indwelling Lord, who art ever opposed to injustice and hypocrisy, we pray that we may be just and true of heart in all our dealings with our brethren, that we may recognize within them Thy indwelling presence and holy light. O Thou great King of Righteousness, to whom be praise and adoration for ever and ever. Amen.",Book of Sophia,"Preach to the whole world: fight yourselves and receive the mysteries of the Light in this afflicted time, and go into the kingdom of the Light. Do not add day to day or cycle to cycle, hoping to come to receive the mysteries when we come to the world in another cycle. Now such people do not know when the number of the Perfect Souls will be complete, and I shall shut the Gates of Light, and from that time no one shall go in, because the mystery of the first mystery has been accomplished, for whose sake the universe has come into being.",Gospel of Philip,"When the pearl is cast down into the mud it does not become dishonored the more, nor if its anointed with balsam oil will it become more precious. But it has its worth in the eyes of its owner at all times. So with the Sons of God wherever they may be. For they have the value in the eyes of their Father.",,
Fourth Sunday after Epiphany,,,,,,,,,
Ash Wednesday,New Sacramentary,,"Divine Beloved, the Mystery of the Incarnation is myriad, manifesting a Spiritual Alchemy in each of your children. In that Mystery, O Most High, may we be unharmed by sorrow, pain, and suffering. We pray that we may come to wholeness, compassion and understanding through that Incarnation. May we see, understand, and live in the Incarnate Word, fully aware of our limitations that through the crucible of physical life, the alembic of our paths, and the athanor of your Divine Love, we may be transmuted to embody those qualities. May we come to accept love and loss, life and death, stillness and struggle with equanimity and surety. Our hearts are ever restless until they find their rest in you; +Father, Son, Holy Spirit. Amen.",The Holy Prophet Mani,"The man whose mind is full of light is the one to whom belongs wisdom; as soon as he hears truth he welcomes it to himself; but he whose mind is without light, who is alien to it, does not take it to himself, nor does he listen to it. And every weak soul which has not learned the truth belonging to her is doomed to remain without any rest or happiness. God’s enlightening word is sweet when it finds ears to hear it; it does not lodge in a closed mind, makes not its way into a polluted shrine. Let us therefore examine our shrines, so that in cleanliness they may receive the Light.",Gospel of Thomas,"Jesus saw children who were being suckled. He said to his disciples: These children who are being suckled are like those who enter the kingdom. They said to Him: Shall we then, being children, enter the Kingdom? Jesus said to them: When you make the two one, and when you make the inner as the outer and the outer as the inner and the above as the below, and when you make the male and the female into a single one, so that the male will not be male and the female not be female, when you make eyes in the place of an eye, and a hand in the place of a hand, and a foot in the place of a foot, and an image in the place of an image then shall you enter the Kingdom.",,
First Sunday in Lent,Old Lectionary,Self-examination,"O loving God, look upon Thy children who have answered Thy call! Come to us with Thy mighty aid in our time of need. Cleanse us of all darkness and ignorance, let our tears be turned to jubilation, let Thy most glorious power watch over us until we enter Thy light. Let Thy great brightness come and cause the path to be lit before us, let Thy angels bring to us Thy garments, Thy crowns and Thy garlands; let our way be restful, let the door open before us into the column of glory, let us cross over in the ships of Light and rest for evermore. Amen.",The Holy Prophet Mani,"The man whose mind is full of light is the one to whom belongs wisdom; as soon as he hears truth he welcomes it to himself; but he whose mind is without light, who is alien to it, does not take it to himself, nor does he listen to it. And every weak soul which has not learned the truth belonging to her is doomed to remain without any rest or happiness. God's enlightening word is sweet when it finds ears to hear it; it does not lodge in a closed mind, makes not its way into a polluted shrine. Let us therefore examine our shrines, so that in cleanliness they may receive the Light.",Gospel according to St. Thomas,"Jesus saw children who were being suckled. He said to his disciples: These children who are being suckled are like those who enter the kingdom. They said to Him: Shall we then, being children, enter the Kingdom? Jesus said to them: When you make the two one, and when you make the inner as the outer and the outer as the inner and the above as the below, and when you make the male and the female into a single one, so that the male will not be male and the female not be female, when you make eyes in the place of an eye, and a hand in the place of a hand, and a foot in the place of a foot, and an image in the place of an image then shall you enter the Kingdom.",,
Second Sunday in Lent,Old Lectionary,Yearning for God,"O gracious father, kindly prince, countless myriads of years have now passed since we were separated from Thee! We yearn and long to see Thy luminous and living face! Unstained we roam forth in Thy power, unstained we come again to stand before Thee! It is true we have not altogether been able to fulfill Thy will, but now be merciful to us, O gracious and royal God; we would forget our sorrows, we would live in the joy of eternal love! Amen.",Great Book of the Mandaeans,"From the day when I came to love the Life, from the day when my heart came to love the Truth, I no longer have trust in anything in the world. In father and mother, I have no trust in the world. In brothers and sisters I have no trust in the world. In what is made and created I have no trust in the world. After my soul alone I go searching about, which to me is worth generations and worlds. I went and found my soul. What are to me all the worlds? I went and found Truth, as she stands at the outer rim of the worlds. ",Book of the Pistis Sophia,"And Mary, the mother of Jesus according to matter, said: When Thou my Master wert a child, before the Spirit had descended upon Thee, when Thou wert in the vineyard with Joseph, the Spirit came down from the height, and came unto me in the house, like unto Thee, and I knew him not, but thought that he was Thou. And he said unto me, Where is Jesus, my brother, that I may go to meet him? And when he had said this unto me I was in doubt, and thought it was a phantom tempting me. I seized him and bound him to the foot of the bed which was in my house, until I had gone to find you in the field  Thee and Joseph. It came to pass, therefore, when Thou didst hear me saying this thing unto Joseph, that Thou didst understand, and Thou  wert joyful and said, Where is he, that I may see him? Nay I am expecting him in this place. And it came to pass, when Joseph heard Thee say these words, that he was disturbed. We went  together, we entered into the house, we found the spirit bound on the bed, and we gazed upon  thee and him, and found that Thou wert like unto him. And he that was bound to the bed was  unloosed; he embraced Thee and kissed thee, and Thou didst kiss him; and ye became one and the same being.",,
